"Id","Drug","Genotype","Sex","Experiment","Trial","Outcome"
113,"Saline","KI","F",1,1,20.3
113,"Saline","KI","F",1,2,4.6
113,"Saline","KI","F",1,3,47.9
113,"Saline","KI","F",1,4,17.1
114,"Saline","KI","F",1,1,6.9
114,"Saline","KI","F",1,2,57.9
114,"Saline","KI","F",1,3,4.3
114,"Saline","KI","F",1,4,6.3
115,"Saline","KI","F",1,1,7.6
115,"Saline","KI","F",1,2,60
115,"Saline","KI","F",1,3,30.4
115,"Saline","KI","F",1,4,60
116,"Saline","KI","F",1,1,8.9
116,"Saline","KI","F",1,2,60
116,"Saline","KI","F",1,3,35.2
116,"Saline","KI","F",1,4,20.4
117,"Saline","KI","F",1,1,60
117,"Saline","KI","F",1,2,60
117,"Saline","KI","F",1,3,3.4
117,"Saline","KI","F",1,4,17.4
118,"Saline","KI","F",1,1,60
118,"Saline","KI","F",1,2,21.7
118,"Saline","KI","F",1,3,10.5
118,"Saline","KI","F",1,4,9.1
108,"Saline","KI","F",2,1,13.2
108,"Saline","KI","F",2,2,60
108,"Saline","KI","F",2,3,60
108,"Saline","KI","F",2,4,60
109,"Saline","KI","F",2,1,9.9
109,"Saline","KI","F",2,2,8.3
109,"Saline","KI","F",2,3,21.7
109,"Saline","KI","F",2,4,11.7
110,"Saline","KI","F",2,1,37.4
110,"Saline","KI","F",2,2,60
110,"Saline","KI","F",2,3,41.9
110,"Saline","KI","F",2,4,60
111,"Saline","KI","F",2,1,60
111,"Saline","KI","F",2,2,60
111,"Saline","KI","F",2,3,11.7
111,"Saline","KI","F",2,4,11.7
112,"Saline","KI","F",2,1,60
112,"Saline","KI","F",2,2,54.6
112,"Saline","KI","F",2,3,5.9
112,"Saline","KI","F",2,4,7.5
113,"Saline","KI","F",2,1,25.9
113,"Saline","KI","F",2,2,8.9
113,"Saline","KI","F",2,3,19.2
113,"Saline","KI","F",2,4,8
114,"Saline","KI","F",2,1,43.5
114,"Saline","KI","F",2,2,3.9
114,"Saline","KI","F",2,3,16.9
114,"Saline","KI","F",2,4,9.9
115,"Saline","KI","F",2,1,48.4
115,"Saline","KI","F",2,2,60
115,"Saline","KI","F",2,3,60
115,"Saline","KI","F",2,4,37.6
116,"Saline","KI","F",2,1,60
116,"Saline","KI","F",2,2,60
116,"Saline","KI","F",2,3,9.2
116,"Saline","KI","F",2,4,7.1
117,"Saline","KI","F",2,1,5.1
117,"Saline","KI","F",2,2,37.9
117,"Saline","KI","F",2,3,60
117,"Saline","KI","F",2,4,26
118,"Saline","KI","F",2,1,41.8
118,"Saline","KI","F",2,2,11.5
118,"Saline","KI","F",2,3,13
118,"Saline","KI","F",2,4,7.1
108,"Saline","KI","F",3,1,20.3
108,"Saline","KI","F",3,2,39.7
108,"Saline","KI","F",3,3,60
108,"Saline","KI","F",3,4,56
109,"Saline","KI","F",3,1,60
109,"Saline","KI","F",3,2,34
109,"Saline","KI","F",3,3,20.7
109,"Saline","KI","F",3,4,5.4
110,"Saline","KI","F",3,1,60
110,"Saline","KI","F",3,2,60
110,"Saline","KI","F",3,3,60
110,"Saline","KI","F",3,4,52.5
111,"Saline","KI","F",3,1,60
111,"Saline","KI","F",3,2,27.3
111,"Saline","KI","F",3,3,11
111,"Saline","KI","F",3,4,19.6
112,"Saline","KI","F",3,1,60
112,"Saline","KI","F",3,2,60
112,"Saline","KI","F",3,3,21.5
112,"Saline","KI","F",3,4,16.7
113,"Saline","KI","F",3,1,60
113,"Saline","KI","F",3,2,6
113,"Saline","KI","F",3,3,6.7
113,"Saline","KI","F",3,4,9.1
114,"Saline","KI","F",3,1,7.6
114,"Saline","KI","F",3,2,44.7
114,"Saline","KI","F",3,3,25.8
